Dog_Name,Breed,Zip
QUINCY,GOLDENDOODLE,02420
TIKI,HAVANESE,02421
GRACIE,BERNEDOODLE,02421
BAXTER,COCKAPOO,02420
NIKO,DACHSHUND MIX,02421
DOLLY,HOUND MIX,02420
BISOU,MALTIPOO,02420
LILLY,MALTESE,02421
BLAKE,BEAGLE MIX,02420
DAISY,BICHON FRISE MIX,02420
GINGER,RETRIEVER GOLDEN,02421
CHEWIE,MIX,02421
NOODLES,POODLE MIX,02421
SHAY,SHEPHERD DUTCH,02421
DAISY,BASSET HOUND MIX,02421
GUS,LAB MIX,02421
BOOMER,POODLE,02421
RILEY,RETRIEVER CHESAPEAK,02421
JACQUELINE,POODLE MINI,02421
LUKE,MALTESE MIX,02420
LEO,WHIPPET,02421
PIPER,VIZSLA,02420
SNOWBALL,COCKAPOO,02421
RUBY,DACHSHUND SMOOTH,02420
MARLO,RETRIEVER MIX,02420
BRUNO,TERRIER SILKY,02421
SAVANNAH,LABRADOR MIX,02421
DAISY,MIX,02421
MICKEY,RETRIEVER MIX,02420
LUNA,GREAT DANE,02421
KASEY,RETRIEVER LABRADOR,02421
OTTO,HAVANESE,02420
SMIDGEON,RETRIEVER LABRADOR,02421
BO,TERRIER TIBETAN,02421
TAYTO,SPANIEL MIX,02421
MAX,SHIH-TZU POODLE MIX,02421
STELLA,RETRIEVER LABRADOR,02420
CHEWEY,SHIH-TZU MIX,02420
LOUI,VIZSLA,02420
HAZEL,SHEPHERD MIX,02420
COCO,HAVANESE,02420
LILY,HAVANESE,02420
ROOKIE,COLLIE BORDER,02421
BUDDY,MALTESE,02421
PIBROCH,SETTER GORDON,02421
VELA,CHIHUAHUA MIX,02420
AGNES,PIT BULL MIX,02420
KING BOO,POODLE TOY,02420
KIRBY,POODLE TOY,02420
COCO 2,LABRADOODLE,02421
OREO,COCKAPOO,02421
TIA,SPANIEL CAVALIER  KING CHARLES,02420
PUMPKIN,MALTESE,02420
ROXY,CHIHUAHUA,02420
CRICKET,POODLE MINI,02421
ROSIE,TERRIER JACK RUSSELL,02420
PENNY,TERRIER JACK RUSSELL,02420
POPPY,HOUND MIX,02421
MURPHY,GOLDENDOODLE,02420
