Dog_Name,Breed
CISCO,VISZLA
ZOEY,COLLIE BORDER MIX
PJ,TERRIER AIREDALE
BILBO,PIT BULL MIX
BELLA,POINTER
JUNO,PORTUGUESE WATER DOG
CHARLEY,RETRIEVER LABRADOR
MAGGIE,RETRIEVER LABRADOR
LONDON,DACHSHUND MIX
MARLEY,DACHSHUND
SADIE,BASSET HOUND
DOTTIE,BASSET HOUND
NUTMEG,BASSET HOUND MIX
HARLEY,SHEPHERD GERMAN
TEDDIE,TERRIER MIX
BAUER,SHEPHERD GERMAN
GRYPHON,RETRIEVER GOLDEN
BETSY,COLLIE BORDER MIX
SUMMER,RETRIEVER LABRADOR
DEXTER,LABRADOODLE
CHLOE,BASSET HOUND MIX
SCOUT,TERRIER JACK RUSSELL
ZUEBIN,TERRIER YORKSHIRE
MOLLY,SHEPHERD LAB MIX
MISTY,LABRADOODLE
ROWAN,SPANIEL ENGLISH SPRINGER
BASIL,SPANIEL CAVALIER  KING CHARLES
NORTON,NEWFOUNDLAND
BRUNO,MIX
COCO,MORKIE MIX
TEDDY,MORKIE MIX
BELLA,SPITZ
HOLDEN,RETRIEVER GOLDEN MIX
TUCKER,AUSTRALIAN LABRADOODLE
FRONTIER,GOLDEN LAB
MOXIE,RETRIEVER GOLDEN
JOEY,HAVANESE
TOBY,DACHSHUND SMOOTH
ROXY,MIX
PEANUT,GOLDENDOODLE
TOBY,LABRADOODLE
MONA,RETRIEVER LAB MIX
ANGEL,SPANIEL COCKER MIX
HAYDEN,SPANIEL SPRINGER
GRETA,DOBERMAN PINSCHER
SHADOW,POODLE
COOKIE,SPANIEL SPRINGER
MIO,COCKAPOO
PINOT,DACHSHUND
ALFIE,DACHSHUND L.H.
BEAN,SPANIEL CAVALIER  KING CHARLES
ZEE,LABRADOODLE
NIKKI,RETRIEVER MIX
DOOLIE,TERRIER YORKSHIRE
RIGBY,MIX
KOBA,BERNESE MOUNTAIN
BROCK,BULLDOG ENGLISH
ROMEO,BULLDOG ENGLISH
CYNDER,BOXER
GINGER,AUSTRALIAN LABRADOODLE
PATCHES,LABRADOODLE
LUNA,LHASA APSO
COPPER,SHEPHERD AUSTRALIAN MIX
TEDDY,TERRIER WELSH
FREYA,PORTUGUESE WATER DOG
IZZY,TERRIER MIX
BELLA,RETRIEVER
LOUIE,PIT BULL
LUCY,SPANIEL COCKER MIX
SILAS,RETRIEVER GOLDEN
LEXIE,TERRIER BORDER
SCHWENDI,BERNEDOODLE
MAGGIE,HAVANESE
LILY,SPANIEL COCKER MIX
MASON,LABRADOR
PATCHES,SPANIEL ENGLISH SPRINGER
MILO,MALTESE
CHICO,HAVANESE
ELOISE,LABRADOR
HELEN,HAVANESE
MAGGIE,POODLE
