Dog_Name,Breed
BELLA,RETRIEVER GOLDEN
THEO,TERRIER BULL BOXER MIX
DORY,TERRIER BLUE TICK HOUND MIX
MAXIE,RETRIEVER LABRADOR
CHARLIE,BEAGLE MIX
MAX,LABRADOODLE
ABBY,DACHSHUND L.H.
SATCHEL,TERRIER BORDER
MEG,PIT BULL
TINKER,MIX
KIMCHI,CHIHUAHUA
LEXI,BICHON FRISE MIX
MILO,GOLDENDOODLE
MARTI,SPANIEL BRITTANY MIX
CALLIE,SPANIEL ENGLISH SPRINGER
JOEY,TERRIER YORKSHIRE
OLIVIA,TERRIER WEST HIGHLAND
CUBA,MALTESE HAVANESE MIX
LILLY,MALTIPOO
CODY,RETRIEVER
LULU,RETRIEVER
ROSIE,BEAGLE
BELLA,GREYHOUND ITALIAN
PIPER,SCHNAUZER MINI
ALLIE,LHASA APSO
MURPHY,RETRIEVER GOLDEN
VIXEN,TERRIER CAIRN
PENELOPE,SHEPHERD MIX
DANIELLE,MIX
AUDREY,MIX
MITSU,RETRIEVER GOLDEN
RUSTY,MIX
LULU,TERRIER YORKSHIRE
BAUER,RETRIEVER GOLDEN MIX
MONTE,SHARPEI
BOOTS,MALTIPOO
BUNNY,SHIH-TZU
LEXI,RETRIEVER LABRADOR
KODI,HEELER
FREDDY,POODLE TOY
REMY,SHEPHERD MIX
RILEY,RETRIEVER GOLDEN
BRADY,RETRIEVER LABRADOR
RUFUS,SPANIEL COCKER MIX
ZEPPELIN,MIX
TUCKER,LABRADOODLE
WALDO,MALTESE MIX
TEDDY,TERRIER YORKSHIRE
BELLA BOOTS,HOUND MIX
BUDDY,MASTIFF MIX
SYDNEY,RETRIEVER LABRADOR
GRACIE,BASSET HOUND MIX
COOKIE,POODLE MIX
NALA,LABRADOR MIX
HAMILTON,RETRIEVER LABRADOR
BRISTOL,BARBET WATER DOG
SOPHIE,RETRIEVER LAB MIX
RIGGLEY,MALTESE MIX
TRIXIE,POODLE STANDARD
RUAIRI,BEAGLE MIX
RILEY,SPANIEL FIELD MIX
ALPINE,RETRIEVER GOLDEN
ANGEL,RETRIEVER LABRADOR
BUDDY,RETRIEVER LAB MIX
TILLY,SHEPHERD COLLIE
GRACIE,COCKAPOO
RUBY,DOBEX
RILEY,DOBEX
PEPPA,SCHNOODLE
COOPER,MIX
BELLA,LAB/BORDER COLLIE
BENTLEY,CORGI
FLORA,COLLIE BORDER MIX
HARPER,CAVAPOO
PAPPY,RETRIEVER LABRADOR
GRACIE,MALTESE POODLE MIX
LILLY,MALTESE POODLE MIX
PERSIA,EURASIER
VALPO,GOLDENDOODLE
LEONARDO (LEO),LABRADOODLE
CHLOE,TERRIER YORKSHIRE
JUICE,BULLDOG OLD ENGLISH
STELLA,RETRIEVER LABRADOR
RIZZO,SCHNAUZER MIX
JASPER,TERRIER WEST HIGHLAND
MINA,MIX
BELLA,SPANIEL COCKER MIX
SADIE,SCHNAUZER MINI
BEASLY,TERRIER
GEORGIO,POMERANIAN
DAISY,GOLDENDOODLE
LUCY,RETRIEVER GOLDEN MIX
NUGGET,RETRIEVER GOLDEN
MAX,YORKIE POO
OLIVER,TERRIER WEST HIGHLAND
LUNA,RETRIEVER LABRADOR
TEX,
MOOSE,MALTIPOO
FIRENZE,MIX
VALENTINO,ITALIAN SPINONE
KASHA,COCKAPOO
MAISIE,MIX
GOLDIE,RETRIEVER GOLDEN
SHIRLEY,RETRIEVER GOLDEN
SUNNY,POODLE STANDARD
LEW,LABRADOR MIX
TESS,GOLDENDOODLE
CHLOE,MALTIPOO
MAGGIE,LAB BLACK MIX
KOKO,SHEPHERD GERMAN
SHIP SHAPE,SHEPHERD LAB MIX
COMET,POODLE TOY
CELINE,RETRIEVER LABRADOR
SPIKE,CHIHUAHUA
COCOA,CHIHUAHUA
ROXIE,HAVANESE
PEPPER,HAVANESE
BODHI,POODLE MINI
LAYLA,LABRADOR MIX
BOO,TERRIER YORKSHIRE
RINGO,SHEPHERD AUSTRALIAN MIX
ISABELLA,TERRIER WEST HIGHLAND
BACI,LABRADOODLE
PEACHES,WHIPPET MIX
MILO,PUG
MAX,PUG
AXL,PORTUGUESE WATER DOG
ELIOT,TERRIER COLLIE MIX
BARNABY,HAVANESE
BEAR,LABRADOODLE
SOPHIE,HOUND MIX
DUKE,RETRIEVER GOLDEN
MADDIE,CORGI PEMBROKE WELSH
MELVIN,SHORKIE
MOOKIE,WESTIE
ALLIE,SHEEPDOG SHETLAND
JENNA,SHEEPDOG SHETLAND
KENNY,SPANIEL CAVALIER  KING CHARLES
JUNO,LABRADOODLE MINI
OBIWAN,WEIMARANER
MAISY,GOLDENDOODLE
BUMBLEBEE,BULLDOG FRENCH
LADYBUG,TERRIER WEST HIGHLAND
NEMO,GOLDENDOODLE
ZEUS,WELSH CORGI CARDIGAN
MAPLE SUGAR,GOLDENDOODLE
LUCY,WEIMARANER
SHADOW,PORTUGUESE WATER DOG
OLIVER,TERRIER CAIRN
JORDAN,
LEXI,TERRIER YORKSHIRE
LATTE,GOLDENDOODLE
PHOEBE,PUG
MILO,BOXER
COOKIE,BOXER MIX
MANI,WEIMARANER
CHARLIE,SHEPHERD HUSKY
MILO,SHEPHERD AUSTRALIAN MIX
BOSCO,LABRADOODLE
HOBBES,DACHSHUND
LENNY,GOLDENDOODLE
LONDON,TERRIER YORKSHIRE
DELLA,TERRIER MIX
LULU,BERNADOODLE
TOSHI,RHODESIAN RIDGEBACK
MISSY,RETRIEVER LAB MIX
HUANG HUANG,DOBERMAN PINSCHER
BELLA,PUG
HONEY,RETRIEVER LABRADOR
LUNA,RETRIEVER GOLDEN
COCO,LABRADOODLE
ROSCOE,POMERANIAN
BUDDY,CAVAPOO
WOLFGANG,RETRIEVER GOLDEN
TOBY,BICHON FRISE
ZOE,MALTIPOO
RUSSELL,LAB MIX
BERTIE,COCKAPOO
JOEY,COCKAPOO
COCO,TERRIER YORKSHIRE
NIMBUS,POMERANIAN MIX
TOREE,SHIH-TZU
COOKIE,POODLE
CLAUS,RETRIEVER LABRADOR
NOEL,WHIPPET
LIBERTY,PEKINGESE MIX
CHEWEE,PEKINGESE
CINDER,HAVANESE
DAKOTA,HUSKY MIX
LOLA,HAVANESE
HALLI,RETRIEVER LABRADOR
SARINA,DACHSHUND SPANIEL MIX
NINJA,RETRIEVER LAB MIX
KAYCEE,RETRIEVER GOLDEN
LILA,DACHSHUND WIREHAIR
PENNY,MIX
RUBY,GOLDENDOODLE
LILLY,TERRIER YORKSHIRE
PIPPA,TERRIER JACK RUSSELL
CHARLIE,MIX
ROXIE,GOLDENDOODLE
MAPLE,RETRIEVER LABRADOR
OLIVE,RETRIEVER LABRADOR
CHAPPY,LABRADOR MIX
QUINN,SHEPHERD GERMAN
MARVEL,PORTUGUESE WATER DOG
NADINE,CHIHUAHUA
MURPHY,RETRIEVER LAB MIX
LUCY,PUG MIX
TEDDY,GOLDENDOODLE
QUINCY,GOLDENDOODLE
OTIS,TERRIER SPANIEL MIX
CALLIOPE,RHODESIAN RIDGEBACK
TIKI,HAVANESE
GRACIE,BERNEDOODLE
SHADOW,RETRIEVER LABRADOR
BAXTER,COCKAPOO
LUCY,PUG
SUDO,GOLDENDOODLE
AGGIE,FOXHOUND MIX
KIZZY,COCKAPOO
NIKO,DACHSHUND MIX
DOLLY,HOUND MIX
BISOU,MALTIPOO
LILLY,MALTESE
BLAKE,BEAGLE MIX
MAYA,MIX
DAISY,RETRIEVER GOLDEN
LILY,RETRIEVER GOLDEN
DAISY,BICHON FRISE MIX
GINGER,RETRIEVER GOLDEN
CHEWIE,MIX
NOODLES,POODLE MIX
SHAY,SHEPHERD DUTCH
DAISY,BASSET HOUND MIX
GUS,LAB MIX
BOOMER,POODLE
RILEY,RETRIEVER CHESAPEAK
LEXI,RETRIEVER CHESAPEAK
JACQUELINE,POODLE MINI
MORTIMER,TERRIER BOSTON
LUKE,MALTESE MIX
LEO,WHIPPET
SCOUT,MIX
PIPER,VIZSLA
SNOWBALL,COCKAPOO
RUBY,DACHSHUND SMOOTH
TOTO,CATTLE DOG AUSTRALIAN   MIX
MARLO,RETRIEVER MIX
BRUNO,TERRIER SILKY
SAVANNAH,LABRADOR MIX
DAISY,MIX
MICKEY,RETRIEVER MIX
LUNA,GREAT DANE
KASEY,RETRIEVER LABRADOR
OTTO,HAVANESE
CUB,MIX
SMIDGEON,RETRIEVER LABRADOR
BO,TERRIER TIBETAN
HELIOS,POODLE STANDARD
TOBY,RETRIEVER LABRADOR
TAYTO,SPANIEL MIX
MAX,SHIH-TZU POODLE MIX
BONNIE,COLLIE  ROUGH COAT
IZZY,GOLDENDOODLE
HENRY,GOLDENDOODLE
CODY,TERRIER CAIRN
CAPTAIN JAMES MORGAN,LABRADOR
CAYMAN,GOLDENDOODLE
STELLA,RETRIEVER LABRADOR
CHEWEY,SHIH-TZU MIX
LOUI,VIZSLA
HAZEL,SHEPHERD MIX
COCO,HAVANESE
LILY,HAVANESE
JOEY,MALTESE
ROOKIE,COLLIE BORDER
BUDDY,MALTESE
MARLEY,RETRIEVER GOLDEN
BANJO,BULLDOG
PIBROCH,SETTER GORDON
MOLLY,PUG
MAX,RETRIEVER LABRADOR
VELA,CHIHUAHUA MIX
AGNES,PIT BULL MIX
YOSHI,POODLE TOY
KING BOO,POODLE TOY
KIRBY,POODLE TOY
COCO 2,LABRADOODLE
OREO,COCKAPOO
TIA,SPANIEL CAVALIER  KING CHARLES
HUNTER,SHIH-TZU KING CHARLES MIX
LUCAS,TERRIER YORKSHIRE
PUMPKIN,MALTESE
ROXY,CHIHUAHUA
CRICKET,POODLE MINI
ROSIE,TERRIER JACK RUSSELL
PENNY,TERRIER JACK RUSSELL
POPPY,HOUND MIX
GATSBY,TERRIER JACK RUSSELL
CHLOE,COLLIE BORDER
SCOUT,SHEPHERD AUSTRALIAN
MURPHY,GOLDENDOODLE
STRYKER,COCKAPOO
NORA,TERRIER WHEATEN
SCOUT,LABRADOODLE
ABBY,RETRIEVER GOLDEN
INDIANA,CAVACHON
PIERRE,PUG
CHARLEY,POODLE MIX
SUSI,SHIH-TZU
MARBLE,MORKIE
JUNO,RETRIEVER GOLDEN
PIPER,MIX
NINA,CHIHUAHUA MIX
CAESAR,SHEPHERD GERMAN
MOLLY,MIX
OSCAR,HOUND MIX
LILLY,POMERANIAN
LUCY,POMERANIAN
PHIN,SHEPHERD GERMAN
SVEN,SHEPHERD GERMAN
SAWYER,COCKAPOO
SHAGGY,POODLE MIX
CORTINA DOLCE,RETRIEVER GOLDEN
SYDNEY,BLUE HEELER MIX
CISCO,VISZLA
ZOEY,COLLIE BORDER MIX
JJ,CHIHUAHUA
OREO,LAB
COCO,LAB
PJ,TERRIER AIREDALE
CHILI,RETRIEVER DUCK TOLLING
BILBO,PIT BULL MIX
BELLA,POINTER
JUNO,PORTUGUESE WATER DOG
DRAKE,POINTER GERMAN SHORTHAIR
CHARLEY,RETRIEVER LABRADOR
MINDI,RETRIEVER MIX
MAGGIE,RETRIEVER LABRADOR
SAMUEL,RETRIEVER LABRADOR
TENZIN,POODLE STANDARD
LONDON,DACHSHUND MIX
LOLA,HAVAMALT
MARLEY,DACHSHUND
SADIE,BASSET HOUND
BEAUREGARD,BASSET HOUND
DOTTIE,BASSET HOUND
NUTMEG,BASSET HOUND MIX
HARLEY,SHEPHERD GERMAN
KIRBY,RETRIEVER
TEDDIE,TERRIER MIX
BAUER,SHEPHERD GERMAN
GRYPHON,RETRIEVER GOLDEN
BETSY,COLLIE BORDER MIX
SAMMY,MALTESE POODLE MIX
ROBBY,COCKAPOO
SUMMER,RETRIEVER LABRADOR
DEXTER,LABRADOODLE
GWEN,PUGGLE
CHLOE,BASSET HOUND MIX
SCOUT,TERRIER JACK RUSSELL
ZUEBIN,TERRIER YORKSHIRE
MISTY,LABRADOODLE
LEXI,YORKIE POO
HARLEY,LAB/BORDER COLLIE MIX
ROWAN,SPANIEL ENGLISH SPRINGER
BASIL,SPANIEL CAVALIER  KING CHARLES
FRANKIE,LABRADOR MIX
NORTON,NEWFOUNDLAND
WOLSEY,BULLDOG ENGLISH
BRUNO,MIX
COCO,MORKIE MIX
TEDDY,MORKIE MIX
BELLA,MORKIE
BELLA,SPITZ
HOLDEN,RETRIEVER GOLDEN MIX
TUCKER,AUSTRALIAN LABRADOODLE
FRONTIER,GOLDEN LAB
MOXIE,RETRIEVER GOLDEN
JOEY,HAVANESE
JOYA,HOUND SHEP MIX
SYDNEY,GOLDENDOODLE
PAPI,COCKAPOO
TOBY,DACHSHUND SMOOTH
LILY,CHIHUAHUA LONG COAT
ROXY,MIX
SHARPIE,SPANIEL COCKER MIX
PEANUT,GOLDENDOODLE
TOBY,LABRADOODLE
MONA,RETRIEVER LAB MIX
ANGEL,SPANIEL COCKER MIX
CHOCOLATE,PINSCHER MINI
HAYDEN,SPANIEL SPRINGER
GRETA,DOBERMAN PINSCHER
MOOKIE,DOBERMAN PINSCHER
SHADOW,POODLE
COOKIE,SPANIEL SPRINGER
MIO,COCKAPOO
PINOT,DACHSHUND
ALFIE,DACHSHUND L.H.
BEAN,SPANIEL CAVALIER  KING CHARLES
ZEE,LABRADOODLE
DUKE,WESTIE POO
NIKKI,RETRIEVER MIX
DOOLIE,TERRIER YORKSHIRE
LYLA,POODLE MINI
MOLLY,TERRIER WHEATEN
RIGBY,MIX
KOBA,BERNESE MOUNTAIN
BROCK,BULLDOG ENGLISH
ROMEO,BULLDOG ENGLISH
CYNDER,BOXER
GINGER,AUSTRALIAN LABRADOODLE
PATCHES,LABRADOODLE
LUNA,LHASA APSO
COPPER,SHEPHERD AUSTRALIAN MIX
TEDDY,TERRIER WELSH
FREYA,PORTUGUESE WATER DOG
IZZY,TERRIER MIX
BELLA,RETRIEVER
DUSTIN,LABRADOODLE
LOUIE,PIT BULL
LUCY,SPANIEL COCKER MIX
SILAS,RETRIEVER GOLDEN
LEXIE,TERRIER BORDER
SCHWENDI,BERNEDOODLE
MAGGIE,HAVANESE
JACK JACK,TERRIER YORKSHIRE
BARNEY,SPANIEL COCKER MIX
LILY,SPANIEL COCKER MIX
MASON,LABRADOR
PATCHES,SPANIEL ENGLISH SPRINGER
CHICO,HAVANESE
ROSITA,RETRIEVER GOLDEN
GUS,RETRIEVER GOLDEN
ELOISE,LABRADOR
HELEN,HAVANESE
MAGGIE,POODLE
WHISKEY,SPANIEL COCKER MIX
LUPE,MIX
LOGAN,MIX
GUS,MIX
DAISY,RETRIEVER LABRADOR
MUFFIN,SHIH-TZU MIX
BONGO,POODLE
HALLIE,POODLE MINI
MONROE,PUGGLE MIX
BUDDY,BULLDOG MIX
BROOKE,MORKIE
BAILEY,COCKAPOO
LUCY,LABRADOODLE
MUMA,COCKAPOO
MR. PUGGLES,PUGGLE
ALDER,LABRADOODLE
BARDA,RETRIEVER LAB MIX
BAXTER HARRY,DACHSHUND MIX
DAPHNE,SPANIEL CAVALIER  KING CHARLES
DUNCAN,SPANIEL CAVALIER  KING CHARLES
SNOWFLAKE,CAVACHON
OREO,CAVAPOO
SADIE,COONHOUND MIX
BEORN,COONHOUND MIX
SCHNITZEL,LABRADOODLE
RAVEN,TERRIER BOSTON
GENO,SHEPHERD GERMAN MIX
MACY,RETRIEVER LABRADOR
BRODY,RETRIEVER LABRADOR
QUINN,RETRIEVER LAB MIX
MADDIE,RETRIEVER LABRADOR
MOOKIE,GOLDENDOODLE
MAX,BEAGLE
LENNY,MIX
SCOUT,BERNESE MOUNTAIN MIX
WILLIE,LABRADOODLE
TIBBY,TERRIER TIBETAN
CHLOE,TERRIER YORKSHIRE
JJ,RETRIEVER LABRADOR
DAISY,RETRIEVER GOLDEN MIX
CHEWIE,AUSTRALIAN LABRADOODLE
REY,LABRADOODLE
CHARLIE,POODLE MIX
LUNA,GOLDENDOODLE
AUGGIE,TERRIER
MILA,RETRIEVER LABRADOR
MADDY,RETRIEVER GOLDEN
SADIE,MIX
LILY,PUG
BRADY,LABRADOODLE
MAGUIGHAN,SCHNAUZER MINI
MAX,SCHNAUZER MINI
LOLA,LAB MIX
BELLA,POODLE MINI
SPIKE,POODLE MINI
MAX,COCKAPOO
ROXY,RETRIEVER GOLDEN
BAILEY,BEAGLE MIX
GINGER,SHIBA INU
COOKIE,CHIHUAHUA
CHARLIE PICKLES,SPANIEL CAVALIER KING CHARLES
EVIE,HAVANESE
SCULLY,SCHNAUZER MIX
MILA,LABRADOODLE
PARKER,COCKAPOO
BUDDY,COCKAPOO
SADIE,RETRIEVER GOLDEN
DASHI,TERRIER CAIRN
PENNY,GOLDENDOODLE
CASCO,TERRIER CAIRN
WILSON,CAVAPOO
JET,RETRIEVER LABRADOR
CHUZZEY,SHIH-TZU MIX
GISELLE,LABRADOR MIX
ROCKY,DACHSHUND
LILY,CAVACHON
COOPER,PUGGLE
CHARLIE,LABRADOODLE
BIRCH,HUSKY
TUGGER,HUSKY
ROSCO,MIX
CHLOE,RETRIEVER GOLDEN
TOTO,PUG MIX
ROCKY,BEAGLE MIX
SLASH,TERRIER JACK RUSSELL
CHOCKY,RETRIEVER LABRADOR
COOPER,BICHON FRISE MIX
CALLAHAN,CAVAPOO
MIKE,GOLDENDOODLE
GUSTAV,HUSKY
SAKU,COLLIE BORDER MIX
OSO,COLLIE
JASPER,PUGGLE
CHLOE,PUGGLE
ROXIE,PORTUGUESE WATER DOG
RUBY,PORTUGUESE WATER DOG
HANK,BEAGLE MIX
KENZIE,RETRIEVER GOLDEN
SATYA,RETRIEVER GOLDEN
STANLEY,SATO
SILOH,HUSKY SIBERIAN
MIKKO,POODLE
CALLIE,RETRIEVER LABRADOR
NELLIE,GREAT PYRENEES
KIPPER,HOUND MIX
MAPLE,BERNEDOODLE
COCO,POODLE STANDARD
LANIE,SPANIEL COCKER MIX
BRUCE,SPANIEL COCKER MIX
MURDOCH,POODLE STANDARD
ROGER,TERRIER WEST HIGHLAND
WODDY,DACHSHUND
COOKIE,TERRIER MIX
RIDER,RETRIEVER GOLDEN
CHARLIE,COCKAPOO
BENNY,CHIHUAHUA MIX
JACK,SHIH-TZU MIX
TOVI,SHELTIE
JOEY,LABRADOODLE
LUCY,MALTESE
MILLIE,RETRIEVER GOLDEN
GERTIE,GOLDENDOODLE
FIONA,TERVUREN
WYATT,TERVUREN
ELLIE,RETRIEVER LABRADOR MIX
RILEY,BEAGLE
MOLLY,RETRIEVER GOLDEN
PEPPER,HOUND MIX
PRINCESS,TERRIER RAT
BELLA,MALTESE
STEFANIE,BULLDOG FRENCH
MAGGIE,RETRIEVER GOLDEN
KIKI,TERRIER WEST HIGHLAND
JAX,TERRIER WEST HIGHLAND
LUNA,GOLDENDOODLE
CHLOE,LABRADOODLE
FRANGO,SHEPHERD GERMAN
MANOLETTE,GALGO
MARILYN,GALGO
CALVIN,LABRADOR MIX
TILLY,GREYHOUND
COOKIE,CHIHUAHUA
FLASH,CHIHUAHUA SMOOTH
DEZ,COLLIE BORDER MIX
JUNEAU,MIX
SASSY,GOLDENDOODLE MINI
LEXI,LABRADOR MIX
TITO,CHIHUAHUA MIX
JUNO,COCKAPOO
FREDDY,POODLE MINI
JENKINS,RETRIEVER LABRADOR
DOUGAL,TERRIER CAIRN
CHARLOTTE,TERRIER YORKSHIRE MIX
JOSIE,PUG
TORPEDO,PINSCHER MINI
ALEXIE,HUSKY
LUNA,POMERANIAN
BOWIE,HUSKY MIX
NIKKI,HUSKY
RAMEN,POODLE MIX
JADEN,SHEEPDOG SHETLAND
JEDI,SHEEPDOG SHETLAND
FREYJA,HUSKY SIBERIAN
LOKI,HUSKY SIBERIAN
SAM,GOLDENDOODLE
BONNIE,LABRADOODLE
HOMER,RETRIEVER GOLDEN MIX
ELI,SCHNAUZER GIANT
MURRAY,PORTUGUESE WATER DOG
LYRA,MIX
SOLO,BRIARD
HOLLY,RETRIEVER LABRADOR
COOPER,SHEPHERD AUSTRALIAN MIX
DAISY,LAB MIX
ROONEY,RETRIEVER GOLDEN
GINGER,RETRIEVER MIX
BENTLEY,BULLDOG FRENCH
KIVA,RETRIEVER LABRADOR
MOMO,TERRIER BOSTON
JACKIE,TERRIER JACK RUSSELL
HAYDN,COCKAPOO
PEPPER,POODLE MIX
TUCKER,RETRIEVER GOLDEN MIX
MAGGIE,GOLDENDOODLE
SKIPPER,RETRIEVER GOLDEN
BAILEY,BEAGLE MIX
ABBY,TERRIER WELSH
TEDDY,TERRIER WELSH
SADIE,RETRIEVER LABRADOR
XIAO BAI,TERRIER WEST HIGHLAND
ZOE,GOLDEN CORGI
CALI,CHIHUAHUA MIX
AMA,SATO
GINGER,SCHNOODLE
FRISCO,RETRIEVER GOLDEN
MONROE,SPANIEL COCKER MIX
HOLLY,MALTIPOO
PERCY,BICHON FRISE
GABBY,LABRADOR
PUMPKIN,MALTESE
PJ,MALTESE
BAUER,RETRIEVER LABRADOR
TOMMY,LAB COLLIE MIX
KIBALI,COLLIE BORDER MIX
WINSTON,SPANIEL CLUMBER
PICCOLA,SPANIEL CAVALIER  KING CHARLES
SAM,COLLIE BORDER
ROXY,PIT BULL
TUCKER,RETRIEVER GOLDEN
FINLEY,CAVAPOO
CROSBY,SPANIEL CAVALIER  KING CHARLES
MAGGIE,PUG
CHESTER CARO,BEAGLE BASSET
FERGUS MACDONALD,TERRIER CAIRN
PARKER,RETRIEVER GOLDEN MIX
LULU,MIX
TUSKER,LABRADOR MIX
LUCY,LABRADOR BULLDOG MIX
SANDY,MIX
AMY,BOXER MIX
MONTY,BULLDOG MIX
OSCAR,LAB/PIT MIX
SASHA,TERRIER MIX
ROXIE,RETRIEVER ENGLISH LABRADOR
MADDIE,POODLE TOY
GUS,BEAGLE
JOLIE,HAVANESE
CUBBY,TERRIER YORKSHIRE
KORO,SHIBA INU
RAPHAEL,NEWFOUNDLAND
SUMMER,LABRADOR MIX
DENVER,RETRIEVER LAB MIX
JAMESON,LABRADOODLE
LEXIE,MIX
LITA,MIX
MEEKO,MIX
BODIE BAREFOOT,LABRADOODLE
LEXIE,HAVANESE
WILLOW,ITALIAN SPINONE
SHILOH,SHEEPDOG SHETLAND
TOMMY,COLLIE BORDER MIX
TINO,RETRIEVER LABRADOR
CHARLIE,RETRIEVER LABRADOR
SCOUT,RETRIEVER FLAT COATED
BAILEY,BEAGLE MIX
KARL,LABRADOR
MONTIE,MALTESE
ALFRED,COTON DE TULEAR
JOSEPH,COTON DE TULEAR
ACE,HUSKY MIX
